iter	Passed	Remaining
539	5475	4663
540	5483	4652
541	5490	4639
542	5498	4627
543	5505	4614
544	5513	4603
545	5520	4590
546	5528	4578
547	5534	4564
548	5543	4553
549	5550	4541
550	5558	4529
551	5566	4517
552	5573	4505
553	5580	4492
554	5587	4480
555	5595	4468
556	5602	4455
557	5610	4444
558	5617	4431
559	5626	4420
560	5636	4410
561	5648	4402
562	5658	4392
563	5667	4381
564	5680	4373
565	5694	4366
566	5711	4361
567	5721	4351
568	5733	4343
569	5747	4335
570	5761	4328
571	5771	4318
572	5782	4308
573	5790	4297
574	5798	4286
575	5811	4277
576	5822	4268
577	5833	4258
578	5845	4250
579	5857	4241
580	5867	4231
581	5879	4222
582	5892	4214
583	5906	4207
584	5918	4198
585	5929	4189
586	5941	4180
587	5952	4170
588	5961	4160
589	5971	4149
590	5980	4139
591	5990	4128
592	6000	4118
593	6007	4105
594	6017	4096
595	6025	4084
596	6037	4075
597	6048	4065
598	6056	4054
599	6069	4046
600	6081	4037
601	6090	4026
602	6101	4017
603	6115	4009
604	6126	3999
605	6134	3988
606	6146	3979
607	6155	3968
608	6169	3961
609	6181	3952
610	6190	3941
611	6198	3929
612	6208	3919
613	6215	3907
614	6226	3897
615	6233	3885
616	6257	3884
617	6266	3873
618	6275	3862
619	6285	3852
620	6295	3842
621	6306	3832
622	6315	3821
623	6328	3813
624	6337	3802
625	6345	3790
626	6354	3780
627	6362	3768
628	6370	3757
629	6378	3746
630	6387	3735
631	6394	3723
632	6402	3711
633	6408	3699
634	6418	3689
635	6426	3678
636	6435	3667
637	6441	3655
638	6449	3643
639	6456	3631
640	6464	3620
641	6471	3608
642	6479	3597
643	6486	3585
644	6492	3573
645	6500	3561
646	6506	3550
647	6516	3539
648	6528	3530
649	6537	3520
650	6551	3511
651	6562	3502
652	6573	3493
653	6585	3483
654	6598	3475
655	6606	3464
656	6619	3455
657	6633	3447
658	6643	3437
659	6652	3427
660	6664	3417
661	6673	3407
662	6683	3397
663	6694	3387
664	6701	3375
665	6710	3365
666	6719	3354
667	6732	3346
668	6744	3336
669	6754	3326
670	6766	3317
671	6778	3308
672	6792	3300
673	6802	3290
674	6814	3280
675	6824	3270
676	6834	3260
677	6846	3251
678	6857	3242
679	6869	3232
680	6881	3223
681	6892	3213
682	6903	3203
683	6911	3193
684	6929	3186
685	6942	3177
686	6954	3168
687	6966	3159
688	6974	3148
689	6983	3137
690	6991	3126
691	7006	3118
692	7048	3122
693	7082	3122
694	7113	3121
695	7129	3113
696	7139	3103
697	7153	3095
698	7167	3086
699	7193	3083
700	7203	3072
701	7213	3061
702	7223	3051
703	7235	3042
704	7247	3032
705	7256	3021
706	7269	3012
707	7279	3002
708	7287	2991
709	7296	2980
710	7304	2969
711	7313	2958
712	7321	2947
713	7329	2935
714	7337	2924
715	7346	2913
716	7355	2903
717	7364	2892
718	7376	2882
719	7387	2872
720	7399	2863
721	7412	2854
722	7426	2845
723	7442	2837
724	7454	2827
725	7465	2817
726	7476	2807
727	7486	2797
728	7494	2786
729	7503	2775
730	7511	2764
731	7519	2753
732	7527	2741
733	7536	2731
734	7543	2719
735	7551	2708
736	7559	2697
737	7569	2687
738	7576	2675
739	7586	2665
740	7593	2654
741	7602	2643
742	7608	2631
743	7617	2621
744	7624	2609
745	7634	2599
746	7640	2587
747	7652	2578
748	7660	2567
749	7669	2556
750	7676	2545
751	7686	2535
752	7696	2524
753	7703	2513
754	7712	2502
755	7719	2491
756	7726	2480
757	7732	2468
758	7740	2457
759	7746	2446
760	7753	2435
761	7761	2424
762	7768	2412
763	7776	2402
764	7783	2391
765	7791	2380
766	7798	2368
767	7805	2357
768	7812	2346
769	7818	2335
770	7826	2324
771	7832	2313
772	7839	2302
773	7845	2290
774	7851	2279
775	7858	2268
776	7864	2257
777	7871	2246
778	7877	2234
779	7883	2223
780	7890	2212
781	7896	2201
782	7903	2190
783	7910	2179
784	7916	2168
785	7924	2157
786	7930	2146
787	7937	2135
788	7943	2124
789	7949	2113
790	7956	2102
791	7962	2091
792	7972	2080
793	7978	2070
794	7987	2059
795	7993	2048
796	8000	2037
797	8006	2026
798	8013	2016
799	8020	2005
800	8027	1994
801	8034	1983
802	8041	1972
803	8049	1962
804	8055	1951
805	8061	1940
806	8069	1929
807	8075	1918
808	8082	1908
809	8088	1897
810	8094	1886
811	8101	1875
812	8107	1864
813	8114	1854
814	8121	1843
815	8127	1832
816	8133	1821
817	8140	1811
818	8146	1800
819	8153	1789
820	8159	1778
821	8166	1768
822	8171	1757
823	8180	1747
824	8187	1736
825	8194	1726
826	8201	1715
827	8207	1704
828	8214	1694
829	8221	1683
830	8228	1673
831	8235	1662
832	8242	1652
833	8248	1641
834	8254	1631
835	8261	1620
836	8268	1610
837	8274	1599
838	8281	1589
839	8287	1578
840	8294	1568
841	8300	1557
842	8307	1547
843	8313	1536
844	8320	1526
845	8326	1515
846	8332	1505
847	8340	1494
848	8346	1484
849	8352	1473
850	8358	1463
851	8364	1453
852	8371	1442
853	8378	1432
854	8385	1422
855	8392	1411
856	8399	1401
857	8406	1391
858	8412	1380
859	8419	1370
860	8425	1360
861	8431	1349
862	8439	1339
863	8446	1329
864	8453	1319
865	8460	1309
866	8467	1298
867	8473	1288
868	8480	1278
869	8487	1268
870	8494	1258
871	8502	1248
872	8508	1237
873	8515	1227
874	8522	1217
875	8528	1207
876	8535	1197
877	8542	1186
878	8549	1176
879	8555	1166
880	8561	1156
881	8568	1146
882	8574	1136
883	8582	1126
884	8589	1116
885	8596	1106
886	8604	1096
887	8611	1086
888	8618	1076
889	8625	1066
890	8632	1056
891	8639	1046
892	8646	1036
893	8653	1026
894	8660	1016
895	8666	1005
896	8672	995
897	8680	985
898	8686	975
899	8693	965
900	8699	955
901	8705	945
902	8713	935
903	8719	925
904	8726	916
905	8732	906
906	8739	896
907	8746	886
908	8752	876
909	8760	866
910	8766	856
911	8775	846
912	8782	836
913	8790	827
914	8797	817
915	8807	807
916	8815	797
917	8825	788
918	8832	778
919	8840	768
920	8847	758
921	8856	749
922	8886	741
923	8906	732
924	8924	723
925	8943	714
926	8961	705
927	8980	696
928	9001	687
929	9020	678
930	9031	669
931	9038	659
932	9046	649
933	9053	639
934	9059	629
935	9066	619
936	9073	610
937	9079	600
938	9087	590
939	9094	580
940	9103	570
941	9110	560
942	9116	551
943	9123	541
944	9131	531
945	9138	521
946	9145	511
947	9152	502
948	9160	492
949	9170	482
950	9178	472
951	9189	463
952	9201	453
953	9212	444
954	9229	434
955	9241	425
956	9253	415
957	9269	406
958	9288	397
959	9314	388
960	9324	378
961	9335	368
962	9347	359
963	9359	349
964	9369	339
965	9384	330
966	9399	320
967	9413	311
968	9426	301
969	9436	291
970	9450	282
971	9465	272
972	9480	263
973	9496	253
974	9510	243
975	9526	234
976	9541	224
977	9554	214
978	9564	205
979	9574	195
980	9584	185
981	9593	175
982	9603	166
983	9611	156
984	9623	146
985	9634	136
986	9642	127
987	9651	117
988	9659	107
989	9669	97
990	9675	87
991	9684	78
992	9690	68
993	9698	58
994	9705	48
995	9713	39
996	9719	29
997	9725	19
998	9733	9
999	9740	0
